feature,coef,abs_coef
property_type:Shared room in casa particular,-1.2042814522760692,1.2042814522760692
property_type:Houseboat,1.1846685445944165,1.1846685445944165
property_type:Private room in serviced apartment,-0.903274654623599,0.903274654623599
property_type:Private room in dorm,-0.7952592645830142,0.7952592645830142
property_type:Private room in resort,0.7830851437816019,0.7830851437816019
property_type:Private room in castle,-0.6417847125759056,0.6417847125759056
property_type:Boat,0.606374355950452,0.606374355950452
property_type:Entire villa,0.5699179358054485,0.5699179358054485
property_type:Private room in bed and breakfast,-0.5217905735358982,0.5217905735358982
property_type:Private room in rental unit,-0.515063195624726,0.515063195624726
property_type:Entire loft,0.4692636201351145,0.4692636201351145
property_type:Room in aparthotel,0.4571515897073992,0.4571515897073992
property_type:Private room in vacation home,-0.4321562949057215,0.4321562949057215
property_type:Private room in guesthouse,-0.4289969465145208,0.4289969465145208
property_type:Private room in earthen home,-0.424849305576129,0.424849305576129
property_type:Private room in home,-0.39806730151369424,0.39806730151369424
property_type:Private room in casa particular,-0.39160360660037885,0.39160360660037885
property_type:Shared room in condo,-0.38480720721288897,0.38480720721288897
property_type:Shared room in townhouse,0.3834865511286476,0.3834865511286476
neighbourhood_group_cleansed:Manhattan,0.3573065724811356,0.3573065724811356
property_type:Shared room in home,0.3572641386514931,0.3572641386514931
property_type:Private room in villa,-0.34958121251713503,0.34958121251713503
property_type:Entire serviced apartment,0.3480069200906242,0.3480069200906242
property_type:Entire condo,0.347063156845079,0.347063156845079
property_type:Private room in hostel,0.34336199260812106,0.34336199260812106
property_type:Private room in townhouse,-0.31898293681565026,0.31898293681565026
property_type:Private room in kezhan,0.31734421436572036,0.31734421436572036
property_type:Private room in houseboat,-0.3053363463246858,0.3053363463246858
property_type:Entire townhouse,0.2938653771137652,0.2938653771137652
has_dishes_and_silverware,-0.2815204179000335,0.2815204179000335
property_type:Shared room in guest suite,0.27983567468460147,0.27983567468460147
property_type:Shared room in serviced apartment,0.2766155603259981,0.2766155603259981
property_type:Room in boutique hotel,0.26018935829434947,0.26018935829434947
property_type:Private room in condo,-0.25839152012666955,0.25839152012666955
property_type:Entire cottage,0.22948942027229796,0.22948942027229796
property_type:Shared room in guesthouse,0.22669237262319342,0.22669237262319342
property_type:Room in hotel,0.21889087316146438,0.21889087316146438
property_type:Private room in camper/rv,-0.21391472102289483,0.21391472102289483
property_type:Private room,-0.21038761884907786,0.21038761884907786
neighbourhood_group_cleansed:Bronx,-0.20404814648825112,0.20404814648825112
property_type:Entire rental unit,0.20284088993694055,0.20284088993694055
has_hot_water,-0.19760964267182463,0.19760964267182463
